"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"278",13807,"2008-03-02",0.084864,0.1457263,0.3096197,93,"sim"
"279",13808,"2008-03-02",0.1775545,0.2749087,0.6478803,96,"sim"
"280",13809,"2008-03-02",0.0127249,0.0288637,0.1415033,91,"sim"
"281",13810,"2008-03-02",0.432282,0.5814322,1.0761304,97,"sim"
"282",13811,"2008-03-02",0.0210657,0.0430423,0.1587115,92,"sim"
"283",13812,"2008-03-02",0.0021483,0.007549,0.0210306,93,"sim"
"284",13813,"2008-03-02",0.0013831,0.0055019,0.0180289,91,"sim"
"285",13814,"2008-03-02",0.0031962,0.0081162,0.0331593,94,"sim"
"286",13815,"2008-03-02",0.0031962,0.0081162,0.0331593,94,"sim"
"287",13816,"2008-03-02",0.0134237,0.0250358,0.1425309,96,"sim"
"288",13817,"2008-03-02",0.0003735,0.0039401,0.0154898,90,"sim"
"289",13818,"2008-03-02",0.2776467,0.4107287,0.7181583,98,"sim"
"290",13819,"2008-03-02",0.2373834,0.3398563,0.6092561,97,"sim"
"291",13820,"2008-03-02",0.2924911,0.4345209,0.7202786,100,"sim"
"292",13821,"2008-03-02",0.0430593,0.0850406,0.2193892,95,"sim"
"293",13822,"2008-03-02",0.5164728,0.7243036,1.3553953,102,"sim"
"294",13823,"2008-03-02",0.1442687,0.2162484,0.4331989,96,"sim"
"295",13824,"2008-03-02",0.3501451,0.5480179,0.9806319,94,"sim"
"296",13825,"2008-03-02",0.2226917,0.3414062,0.7168976,93,"sim"
"297",13826,"2008-03-02",0.4746339,0.6888865,1.0458387,96,"sim"
"298",13827,"2008-03-02",0.0235146,0.0499013,0.1918569,91,"sim"
"299",13828,"2008-03-02",0.7671292,0.9907795,1.544216,98,"sim"
"300",13829,"2008-03-02",0.1847672,0.3073147,0.6370702,92,"sim"
"301",13902,"2009-01-24",0.0020157,0.0060972,0.0553585,90,"sim"
"302",13904,"2009-01-24",0.0013818,0.0063673,0.0517693,92,"sim"
"303",13908,"2009-01-24",0.0013818,0.0063673,0.0517693,92,"sim"
"304",13910,"2009-01-24",0.0013818,0.0063673,0.0517693,92,"sim"
"305",13920,"2009-01-24",0.0085988,0.0269212,0.1070265,90,"sim"
"306",13922,"2009-01-24",0.0414919,0.0781811,0.1964314,92,"sim"
"307",14001,"2009-02-11",3.8346421,4.4808744,5.8335762,107,"sim"
"308",14002,"2009-02-11",11.78678,13.3457646,15.6839234,109,"sim"
"309",14003,"2009-02-11",2.8258102,3.4032369,4.6506206,105,"sim"
"310",14004,"2009-02-11",12.6679935,14.5680612,17.7854601,111,"sim"
"311",14005,"2009-02-11",3.4877428,4.0812121,5.961101,106,"sim"
"312",14006,"2009-02-11",6.3477721,7.3981423,9.0896099,108,"sim"
"313",14007,"2009-02-11",5.7580403,6.7596495,9.2062697,106,"sim"
"314",14008,"2009-02-11",14.1005827,15.6492763,18.3931871,109,"sim"
"315",14009,"2009-02-11",4.8963894,5.7711617,7.7645797,104,"sim"
"316",14010,"2009-02-11",14.7374394,16.8322314,19.986317,112,"sim"
"317",14011,"2009-02-11",5.4202591,6.2692109,8.0562794,105,"sim"
"318",14012,"2009-02-11",2.6939919,3.4347351,4.9848021,106,"sim"
"319",14013,"2009-02-11",1.7066144,2.1746362,3.2112938,105,"sim"
"320",14014,"2009-02-11",3.1307245,3.9344569,5.988649,107,"sim"
"321",14015,"2009-02-11",1.143489,1.4667027,2.3961037,104,"sim"
"322",14016,"2009-02-11",3.8695024,4.7289422,6.5672288,106,"sim"
"323",14017,"2009-02-11",1.404999,1.8619165,2.9090024,104,"sim"
"324",14018,"2009-02-11",5.8419979,6.8513848,8.6613831,102,"sim"
"325",14019,"2009-02-11",5.2383117,6.2212056,7.6954348,101,"sim"
"326",14020,"2009-02-11",6.1831049,7.2283384,9.0371479,104,"sim"
"327",14021,"2009-02-11",4.3358833,5.1551349,6.9539443,99,"sim"
"328",14022,"2009-02-11",6.5973869,7.8721488,10.6944297,106,"sim"
"329",14023,"2009-02-11",4.9064388,5.8059346,8.0502936,100,"sim"
"330",14024,"2009-02-11",11.5530085,13.1769872,15.584016,110,"sim"
"331",14025,"2009-02-11",10.6099066,12.1439626,14.5612521,109,"sim"
"332",14026,"2009-02-11",12.3396233,14.159659,16.7743506,112,"sim"
"333",14027,"2009-02-11",3.4526432,4.14176,5.5347475,106,"sim"
"334",14028,"2009-02-11",13.6047341,15.6671287,19.3968674,114,"sim"
"335",14029,"2009-02-11",4.4401324,5.3643715,6.9778381,108,"sim"
"336",14101,"2010-02-27",4.4401324,5.3643715,6.9778381,108,"sim"
"337",14102,"2010-02-27",0.0017214,0.0060324,0.0471711,90,"sim"
"338",14104,"2010-02-27",0.0049128,0.0116632,0.0570383,92,"sim"
"339",14106,"2010-02-27",0.0049128,0.0116632,0.0570383,92,"sim"
"340",14107,"2010-02-27",0.0049128,0.0116632,0.0570383,92,"sim"
"341",14108,"2010-02-27",0.0032853,0.0096102,0.0442871,91,"sim"
"342",14110,"2010-02-27",0.0415158,0.0826034,0.2857438,93,"sim"
"343",14112,"2010-02-27",0.0375167,0.0757584,0.1490152,111,"sim"
"344",14113,"2010-02-27",0.0366904,0.0704208,0.1414525,109,"sim"
"345",14114,"2010-02-27",0.0417546,0.0813101,0.1706345,112,"sim"
"346",14115,"2010-02-27",0.0054932,0.0178588,0.0831175,107,"sim"
"347",14116,"2010-02-27",0.0475094,0.092097,0.1934078,115,"sim"
"348",14117,"2010-02-27",0.0063136,0.0184461,0.0638192,108,"sim"
"349",14118,"2010-02-27",0.0060757,0.018297,0.1529408,92,"sim"
"350",14119,"2010-02-27",0.0043338,0.0172649,0.1454303,90,"sim"
"351",14120,"2010-02-27",0.0255402,0.057029,0.1926258,93,"sim"
"352",14122,"2010-02-27",0.1222883,0.1912515,0.3658214,95,"sim"
"353",14128,"2010-02-27",0.0034314,0.0094418,0.0486685,91,"sim"
