latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.7069,150.1862,353.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,96,6.03,307.5,90.7,D,0
-32.7054,150.1725,353.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,96,6.03,309.9,91.7,D,0
-32.7005,150.1288,327.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,55,6.03,300,21.5,D,0
-32.6989,150.1144,325,1.4,1.2,2019-12-29,0025,Terra,MODIS,40,6.03,298.6,17.1,D,0
-32.6996,150.2165,376.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,310.3,198.4,D,0
-32.698,150.2023,350.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,94,6.03,306.9,80.6,D,0
-32.6949,150.1743,340.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,82,6.03,306.8,51.3,D,0
-32.6933,150.1598,357.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,98,6.03,308.7,107.5,D,0
-32.6916,150.1447,392.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,310.9,313.5,D,0
-32.69,150.1304,370.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,299.2,169,D,0
-32.6884,150.1162,338.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,84,6.03,301.4,45.5,D,0
-32.7499,150.8874,348.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,93,6.03,307.8,84.8,D,0
-32.7406,150.9054,326.5,1.5,1.2,2019-12-29,0025,Terra,MODIS,25,6.03,306.9,18.3,D,0
-32.734,150.841,322.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,7,6.03,307.4,12.8,D,0
-32.6681,150.2218,328.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,33,6.03,307.4,22,D,0
-32.6665,150.2073,339.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,81,6.03,305.9,50.5,D,0
-32.7488,150.8936,343.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,88,6.03,307.4,63.4,D,0
-32.747,150.8771,327.2,1.5,1.2,2019-12-29,0025,Terra,MODIS,19,6.03,306.9,20.2,D,0
-32.6721,150.2121,331.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,52,6.03,305.8,30.9,D,0
-32.7396,150.9116,333.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,68,6.03,307.4,32.7,D,0
-32.7326,150.8472,324.8,1.5,1.2,2019-12-29,0025,Terra,MODIS,47,6.03,307.4,17.3,D,0
-32.6616,150.2138,398.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,314.2,375.1,D,0
-32.66,150.1992,324.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,37,6.03,305.2,21.3,D,0
-32.7287,150.9135,330.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,54,6.03,307.3,27,D,0
-32.7229,150.9633,328.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,40,6.03,308,22.1,D,0
-32.7031,150.8836,332,1.5,1.2,2019-12-29,0025,Terra,MODIS,53,6.03,307.6,33.6,D,0
-32.7014,150.8676,334.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,62,6.03,307.3,37.6,D,0
-32.6997,150.8512,334.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,78,6.03,306.4,39.6,D,0
-32.6979,150.8351,324.2,1.5,1.2,2019-12-29,0025,Terra,MODIS,37,6.03,305.9,17,D,0
-32.6853,150.8209,332.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,63,6.03,307.4,35.3,D,0
-32.623,150.2509,328,1.4,1.2,2019-12-29,0025,Terra,MODIS,67,6.03,306.5,25.2,D,0
-32.6744,150.8225,335.5,1.5,1.2,2019-12-29,0025,Terra,MODIS,71,6.03,307.7,42.9,D,0
